Year,Month,Professional Area,License Type,County,State,Count
2025,February,Sellers of Travel,Sellers of Travel,Chelan,WA,5
2025,February,Appraisers - Real Estate,Appraiser Trainee,Stevens,WA,1
2025,February,Cosmetology,Hair Designer,Mason,WA,3
2025,February,Real Estate,Real Estate Managing Broker,San Juan,WA,46
2025,February,Geologist,Geologist,King,WA,457
2025,February,Cosmetology,Hair Designer,Unknown or Out of State,NV,3
2025,February,Real Estate,Real Estate Firm,Jefferson,WA,13
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,FL,35
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,TX,12
2025,February,Real Estate,Real Estate Firm,Unknown or Out of State,Out of State,9
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,GA,22
2025,February,Cosmetology,Cosmetologist,Asotin,WA,68
2025,February,Cosmetology,Mobile Unit,Jefferson,WA,1
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Whatcom,WA,22
2025,February,Private Investigator,Private Investigator,Benton,WA,13
2025,February,Real Estate,Real Estate Managing Broker,Chelan,WA,91
2025,February,Body Art and Body Piercing,Tattoo Artist,Clallam,WA,16
2025,February,Body Art and Body Piercing,Body Art (Branding/Scarification),Clark,WA,4
2025,February,Combative Sports,Second,King,WA,19
2025,February,Combative Sports,Boxing Participant,Unknown or Out of State,Out of State,1
2025,February,Combative Sports,Physician,Pierce,WA,2
2025,February,Real Estate,Real Estate Branch,Skamania,WA,1
2025,February,Real Estate,Real Estate Broker,Pend Oreille,WA,26
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Franklin,WA,10
2025,February,Landscape Architects,Landscape Architect,Unknown or Out of State,GA,8
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,WY,5
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,VA,3
2025,February,Combative Sports,Timekeeper,Pacific,WA,2
2025,February,Architects,Architect,Skamania,WA,1
2025,February,Body Art and Body Piercing,Tattoo Artist,Unknown or Out of State,ID,18
2025,February,Combative Sports,Promoter,Lewis,WA,1
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,CO,4
2025,February,Funerals,Prearrangement Funeral Services,Grays Harbor,WA,1
2025,February,Funerals,Embalmer Intern,Snohomish,WA,6
2025,February,Body Art and Body Piercing,Body Piercing,Unknown or Out of State,MI,1
2025,February,Cosmetology,Cosmetologist,Spokane,NV,1
2025,February,CDL Training and Examining,CDL Training Instructor,Unknown or Out of State,TN,1
2025,February,Bail Bonds,Bail Bond Recovery Agent,Benton,WA,3
2025,February,Appraisers - Real Estate,Appraiser Course,Unknown or Out of State,Out of State,260
2025,February,Real Estate,Real Estate Branch,Cowlitz,WA,4
2025,February,Real Estate,Real Estate Firm,Spokane,WA,268
2025,February,Real Estate,Real Estate Instructor,Pierce,WA,101
2025,February,CDL Training and Examining,CDL Skills Testing Examiner,Pacific,WA,1
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,OR,55
2025,February,Body Art and Body Piercing,Tattoo Artist,Benton,WA,86
2025,February,Real Estate,Real Estate Course,Unknown or Out of State,WI,15
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,AZ,17
2025,February,Architects,Architect Firm,King,WA,544
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Cowlitz,WA,28
2025,February,Timeshares,Timeshare Salesperson,Douglas,WA,1
2025,February,Cosmetology,Esthetician,Unknown or Out of State,AZ,55
2025,February,Home Inspector,Home Inspector Courses,Lewis,WA,1
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Okanogan,WA,2
2025,February,Architects,Architect Firm,Walla Walla,WA,4
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,NC,8
2025,February,CDL Training and Examining,CDL Training Instructor,Lewis,WA,33
2025,February,Body Art and Body Piercing,Artist Shop,Jefferson,WA,4
2025,February,Geologist,Geologist,Unknown or Out of State,OR,200
2025,February,Body Art and Body Piercing,Tattoo Artist,Unknown or Out of State,OR,221
2025,February,Notary Public,Notary Public,San Juan,WA,209
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,FL,46
2025,February,Security Guards,Security Guard,Unknown or Out of State,LA,5
2025,February,Cosmetology,Hair Designer,Okanogan,WA,2
2025,February,Real Estate,Real Estate Broker,Pierce,WA,4018
2025,February,Cemeteries,Cemetery,Pierce,WA,11
2025,February,Body Art and Body Piercing,Body Piercing,Clark,WA,31
